Lebensmittel; Histamingehalt (mg/kg) oder (mg/l);vertraeglichkeit;biogene Amine (mg/kg);DAO-Hemmer;Histamin-liberatoren;Gehalt an Amino-saeuren (mg/kg);Sonstiges;;;
Aal;viel Histamin;4;;;;;;;;
Adipinsaeure (E 355);;3;Tyramin;;;;;;;
Adlerfisch, frisch/TK;histaminarm;1;;;;;;;;
Alaska-Seelachs (Koehler), frisch/TK;~1;1;Tyramin 0-500, Serotonin;;ja;Tryptophan, Phenylalanin;;;;
Alkohol;;3;ja;ja;;;;;;
Amaranth (E 123);enthaelt Histamin;3;Serotonin;;ja;Tryptophan 1960;;;;
Ananas;;4;Serotonin 17-65, Tyramin;;ja;;;;;
Anchovis, Dose;~1250;4;Tyramin 0-500, Serotonin;;ja;Tryptophan, Phenylalanin;;;;
Anchovis, frisch;~44;3;Tyramin 0-500, Serotonin;;ja;Tryptophan, Phenylalanin;;;;
Antioxidantien Butylhydroxianisol (BHA), -toluol (BHT);enthaelt Histamin;3;;;;;;;;
Apfel;~0,7;2;Serotonin;;;;Salicylate;;;
Apfelessig;~0,02 mg/l;2;;;;;;;;
Appenzeller, 20% Fett i.Tr.;enthaelt Histamin;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 8700;;;;
Appenzeller, 50% Fett i.Tr.;enthaelt Histamin;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 7600;;;;
Aprikosen/Mirabellen;histaminarm;1;Serotonin;;;;Salicylate;;;
Aprikosenkerne;;2;;;;Histidin 5750;;;;
Auberginen(Melanzani);<10-30;4;Tyramin, Serotonin, Spermin, Spermidin;;;;;;;
Avocado;<10-30;4;Tyramin 23, Dopamin, Serotonin 20;;ja;Histidin 290, Tryptophan 220;;;;
Azorubin (E 122);enthaelt Histamin;3;;;ja;;;;;
Backpulver;;4;;;;;;;;
Bananen, frisch;~0,1;4;Serotonin 20-78, Dopamin bis 650, Putrescin 33, Noradrenalin 100, Tyramin 7-11;;ja;Histidin 770, Tryptophan 180;Salicylate;;;
Benzoesaeure/Salze (E 210-213);enthaelt Histamin;3;;;ja;;;;;
Bergkaese;<10-1200;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Bernsteinsaeure (E 363);;3;Tyramin;;;;;;;
Bier;0,02-0,05;3;Phenylethylamin, Tyramin 0,5-46,8;ja;ja;;Sulfite, Salicylate;;;
Bier, alkoholfrei;0,015-0,04;3;Phenylethylamin, Tyramin;ja;ja;;Sulfite;;;
Bierkaese;<10-80;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Birnen;;2;Spermin 30, Spermidin 50;;;;;;ja;4
Bitter Lemon;;3;;;ja;;Chinin;;3;3
Blattspinat (TK);<10-60;3;;;;;;;2;2
Blaubeeren;histaminarm;1;;;ja;;Salicylate;;nein;1
Blauschimmelkaese;<10-2000;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;;;;
Blumenkohl;histaminarm;1;Spermin, Spermidin;;;;;;;
Bohnen;;2;Tyramin;;;Phenylalanin, Tryptophan 2300;;;;
Bologna-Wurst;~6;3;Tyramin 85-244;;ja;;;;;
Bonbons (vertraegliche Fruechte);histaminarm;2;;;;;;;;
Bratwurst roh, - 5 Tage alt;~1-6;3;Serotonin, Dopamin, Putrescin;;ja;;;;;
Bratwurst roh, frisch;<1;2;Serotonin, Dopamin, Putrescin;;ja;;;;;
Brie;<10-300;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 7600, Tryptophan 3400;Aflatoxine (Schimmeltoxine);;;
Brokkoli;histaminarm;1;Spermin, Spermidin;;;;;;;
Brombeeren;;1;;;ja;;Salicylate;;;
Brottrunk;viel Histamin;3;;;;;;;;
Buchweizen;;2;ja;;ja;Histidin 1900, Tryptophan 1900;;;;
Bueckling, geraeuchert;~5;ja;Tyramin 0-500, Serotonin, Phenylalanin;;ja;Tryptophan;;;;
Butter;;1;;;;Histidin 190;;;;
Butterkaese;<10;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Buttermilch;~2,3;2;Tyramin;;;;;;;
Camembert;<7-1000;4;Tyramin 0-4000, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 6600, Tryptophan 3700;Aflatoxine (Schimmeltoxine);;;
Casein;;2;;;ja;;;;;
Cashewnuesse;;4;Tyramin, Spermin 55, Spermidin 38, Serotonin;;ja;Tryptophan 4500;;;;
Cervelatwurst;<10-100;4;Tyramin 85-244, Spermin, Spermidin;;ja;;;;;
Champagner;~0,67;4;Tyramin 670;ja;ja;;;;;
Champignons, Morcheln, andere Pilze;;4;Tyramin, Spermin, Spermidin;;ja;Histidin 300-2200;;;;
Cheddar;0-2100;4;Tyramin 0-1500, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 8000, Tryptophan 2900;Aflatoxine (Schimmeltoxine);;;
Chester;0-2100;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 8000;;;;
